2021-03-08  08:51:30;3;2;1;2630.89;3235.9947;5;1;
2021-03-08  08:51:37;1;2;3;1520.59;1870.3257;5;1;
2021-03-10  08:31:09;2;2;2;2075.74;2553.1602;15;4;
2021-03-10  08:44:37;1;1;1;1037.87;1276.5801;5;2;
2021-03-10  08:44:40;1;1;1;1037.87;1276.5801;5;3;
2021-03-10  08:44:43;1;1;1;1037.87;1276.5801;5;4;
2021-03-10  08:44:45;1;1;1;1037.87;1276.5801;5;2;
2021-03-10  08:44:48;1;1;1;1037.87;1276.5801;5;1;
2021-03-10  08:44:51;1;1;1;1037.87;1276.5801;5;5;
2021-03-10  08:52:52;1;1;1;1037.87;1276.5801;5;4;
2023-10-16  13:38:53;2;3;3;2434.16;2994.0168;20;3;
2023-10-16  13:39:38;0;0;0;0;0;5;5;
2023-10-16  13:39:42;0;0;0;0;0;5;4;
2023-10-26  15:02:04;0;0;0;0;0;5;1;
